X,Y,OBJECTID,AUN,SCHOOL_NUM,LOCATION_ID,FACIL_NAME,FACILNAME_LABEL,FACIL_ADDRESS,ZIPCODE,FACIL_TELEPHONE,ACTIVE,GRADE_LEVEL,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECIFIC
-75.110420279266009,39.983399000437295,135,126515001,3701,5400,Richmond,Richmond,2944 Belgrade St.,19134 - 4956,291-4718,Open,Elementary School,K-5,681,District,District
-75.211379983069563,39.966034114865835,136,126515001,3615,1420,"Washington, Martha","Washington, Martha",728-62 N 44th St.,19104 - 1312,823-8203,Open,Elem/Middle,K-8,467,District,District
-75.219907868074117,39.959010394559314,137,126515001,3860,1020,West Philadelphia High School,West Phila HS,4901 Chestnut St,19139,471-2902,Open,High School,9-12,578,District,District
-75.16328229450059,39.934621893082806,138,126515001,3642,2510,"Jackson, Andrew","Jackson, Andrew",1213 S. 12th St.,19147 - 4501,952-6223,Open,Elem/Middle,K-8,463,District,District
-75.16879695159389,39.923616237615597,139,126515001,3859,2000,South Philadelphia,South Philadelphia,2101 South Broad St.,19148,952-6220,Open,High School,9-12,761,District,District
-75.179474618124488,40.009078515265003,140,126515001,7813,6090,"Randolph, A. Philip AVT HS",Randolph HS,3101 Henry Ave,19129,227-4407,Open,High School,9-12,540,District,District
-75.025310893242505,40.106170206278186,141,126515001,6527,8030,"Washington, George High School","Washington, George HS",10175 Bustleton Ave.,19116,961-2001,Open,High School,9-12,1521,District,District
-74.988990829991835,40.067430826018686,142,126515001,5041,8180,"Hancock, John","Hancock, John",3700 Morrell Ave.,19114 - 1939,281-2604,Open,Elementary School,K-5,517,District,District
-75.052446437299153,40.066567565621561,143,126515001,7235,8380,"Farrell, Louis H.","Farrell, Louis H.",8300 Castor Ave.,19152 - 2725,728-5009,Open,Elem/Middle,K-8,1061,District,District
-75.081383931972596,40.062164074088585,144,126515001,3762,8230,"Crossan, Kennedy C.","Crossan, Kennedy C.",7350 Bingham St.,19111 - 1301,728-5014,Open,Elementary School,K-5,364,District,District
-75.1484151389446,40.058771897537206,145,126515001,3724,7530,"Rowen, William","Rowen, William",6841 North 19th St.,19126 - 1534,276-5251,Open,Elementary School,K-5,518,District,District
-75.174901860134867,40.048124618338278,146,126515001,3824,6110,"Roosevelt, Theodore","Roosevelt, Theodore",430 E Washington Lane,19144,951-4170,Open,Elem/Middle,K-8,564,District,District
-75.223047287270731,40.037239272247739,147,126515001,3844,6030,Roxborough High School,Roxborough,6498 Ridge Ave.,19128,487-4464,Open,High School,9-12,564,District,District
-75.134506451337188,40.030233890312608,148,126515001,7521,5500,"Marshall, Thurgood","Marshall, Thurgood",5118-50 N. 6th St.,19120 - 3147,456-0170,Open,Elem/Middle,K-8,696,District,District
-75.166408158849833,40.026130882168054,149,126515001,6913,6230,Fitler Academics Plus,Fitler,140 West Seymour St.,19144 - 3667,951-4009,Open,Elem/Middle,1-8,273,District,District
-75.105179755224754,39.996250307560324,150,126515001,5124,5590,"Webster, John H.","Webster, John H.",3400 Frankford Ave.,19134 - 2651,537-2525,Open,Elementary School,K-5,888,District,District
-75.139252714433368,39.98639985881271,151,126515001,3703,5420,"Welsh, John","Welsh, John",2331 N 04th St.,19133 - 2933,291-4708,Open,Elem/Middle,K-8,504,District,District
-75.183520873182474,39.985404803364503,152,126515001,3662,4220,"Blaine, James G.","Blaine, James G.",3001-29 West Berks St.,19121 - 1801,684-5085,Open,Elem/Middle,K-8,424,District,District
-75.17734345750867,39.978076753146766,153,,,2310,Camelot Academy at Boone,"Boone, Daniel",1435 N. 26th St.,19121,684-5080,Open,Remedial Discipline,6-12,,District,District
-75.26703140531346,39.975674364238017,154,126515001,3670,4320,"Lamberton, Robert Elementary School","Lamberton, Robert Elem",7501 Woodbine Ave.,19151 - 2709,581-5650,Open,Elem/Middle,K-8,518,District,District
-75.145861054553748,39.972323449668316,155,126515001,3694,5340,"Ludlow, James R.","Ludlow, James R.",500 W. Master St.,19122 - 4316,684-5060,Open,Elem/Middle,K-8,304,District,District
-75.163361756221605,39.965054005603974,156,126515001,6822,2290,Franklin Learning Center,Franklin Learning Ctr,616 N 15th St.,19130,684-5916,Open,High School,9-12,787,District,District
-75.230261380114925,39.94746813833585,157,126515001,6528,1300,"Harrington, Avery","Harrington, Avery",5300-34 Baltimore Ave.,19143 - 3117,471-2914,Open,Elementary School,K-8,607,District,District
-75.163266844010877,39.915477293423599,158,126515001,7226,2190,"Fell, D. Newlin","Fell, D. Newlin",900 W.  Oregon Ave.,19148 - 4504,952-6237,Open,Elem/Middle,K-8,554,District,District
-75.009144085008487,40.120926061733982,159,126515001,3760,8370,"Comly, Watson","Comly, Watson",1001  Byberry Road,19116 - 2120,961-2008,Open,Elementary School,K-5,507,District,District
-75.080542123389677,40.074564373927487,160,126515001,3765,8260,Fox Chase,Fox Chase,700 Rhawn St.,19111 - 2505,728-5016,Open,Elementary School,K-5,462,District,District
-75.174851908840466,40.07143184911606,161,126515001,3822,6100,"Leeds, Morris E.","Leeds, Morris E.",1100 E. Mt. Pleasant Ave.,19150,248-6602,Open,Middle School,6-8,266,District,District
-75.071201153673528,40.056194802587079,162,126515001,3855,8020,Northeast High School,Northeast HS,1601 Cottman Ave.,19111,728-5018,Open,High School,9-12,2965,District,District
-75.195181209449174,40.059523743984037,163,126515001,3713,6260,"Houston, Henry E.","Houston, Henry E.",7300 Rural Lane,19119 - 4108,248-6608,Open,Elem/Middle,K-8,382,District,District
-75.138482877602939,40.055139543776697,164,126515001,3738,7260,Ellwood,Ellwood,6701 N. 13th St.,19126 - 2848,276-5286,Open,Elementary School,K-5,317,District,District
-75.156209309572688,39.965035627156993,165,126515001,3655,5560,Spring Garden,Spring Garden,1146 Melon St,19123 - 1964,684-5070,Open,Elem/Middle,K-8,275,District,District
-75.176218798687827,39.941856777816618,166,126515001,3805,2480,"Arthur, Chester A.","Arthur, Chester A.",800 S 20TH ST,19146 - 1329,875-5774,Open,Elem/Middle,K-8,259,District,District
-75.232662886316021,39.940399439211021,167,126515001,6533,1350,"Longstreth, William","Longstreth, William",5700 Willows Ave.,19143 - 4517,727-2158,Open,Elem/Middle,K-8,485,District,District
-75.159560336527917,39.962794669321276,168,126515001,7782,5080,Parkway Center City,Parkway Center City,540 N 13th St,19123,351-7095,Open,High School,9-12,535,District,District
-75.092465277331087,40.036447621593041,169,126515001,3816,7120,"Fels, Samuel","Fels, Samuel",5500 Langdon St,19124,215-537-2516,Open,High School,9-12,1101,District,District
-75.174468042027371,39.952336372579111,170,126513270,7586,3318,Freire Charter School,Freire CS,2027 CHESTNUT ST,19103,215-557-8555,Open,Middle/High,5-12,947,Charter,Charter
-75.148215462507196,39.967717976192944,171,126513250,7584,3329,Young Scholars Charter School ,Young Scholars Charter School,900 N Marshall St,19122,215-232-9727,Open,Middle School,6-8,251,Charter,Charter
-75.082281770894596,40.007307526885,172,100510000,7744,3364,First Philadelphia Charter School for Literacy,First Phila CS for Literacy,4300 Tacony St,19124,215-743-3100,Open,Elem/Middle/High,K-9,1290,Charter,Charter
-75.242677813266781,39.91819036492511,173,108515107,7960,3392,Southwest Leadership Academy,Southwest Leadership Acad,7101 Paschall Ave,19142,215-729-1939,Open,Elem/Middle,K-8,489,Charter,Charter
-75.189528773522184,40.051938444419719,174,126510017,7826,3350,Khepera Charter School,Khepera CS,144 Carpenter Lane,19119,215-843-1700,Open,Elem/Middle,K-8,453,Charter,Charter
-75.186618027579172,39.928465480106674,175,126512960,7540,3313,"Preparatory CS of Math, Science Technology and Careers","Prep CS of Math, Sci Tech & Careers",1928 Point Breeze Ave,19145,215-334-6144,Open,High School,9-12,576,Charter,Charter
